"Story","Title","Result","Date","Stability","Duration (s)"
"category coupons","category coupons","SUCCESS","2021-09-07T10:16:18.6147912-05:00[America/Lima]","0.0","53.36"
"Coupons","Bicanal coupon","SUCCESS","2021-09-05T18:24:44.1822372-05:00[America/Lima]","0.0","74.65"
"Coupons","Flash coupon","SUCCESS","2021-09-06T13:00:00.7744673-05:00[America/Lima]","0.0","71.93"
"Coupons","multi-hook coupon","SUCCESS","2021-09-06T00:02:21.4380264-05:00[America/Lima]","0.0","51.8"
"Coupons","normal coupon","SUCCESS","2021-09-06T16:28:21.3205191-05:00[America/Lima]","0.0","48.81"
"Coupons","recommend coupons","SUCCESS","2021-09-06T18:07:27.6762004-05:00[America/Lima]","0.0","59.74"
"FOOTER","Frequently Asked Questions","SUCCESS","2021-09-04T22:18:05.2178463-05:00[America/Lima]","0.0","47.19"
"FOOTER","Terms and Conditions","SUCCESS","2021-09-04T22:18:52.6089079-05:00[America/Lima]","0.0","14.6"
"Login into the application","failed login","SUCCESS","2021-09-03T11:34:36.7356224-05:00[America/Lima]","0.0","34.99"
"Login into the application","user not registered","SUCCESS","2021-09-03T11:47:37.0778637-05:00[America/Lima]","0.0","58.94"
"Login into the application","successful login","SUCCESS","2021-09-07T16:26:08.4487753-05:00[America/Lima]","0.0","50.81"
"Search Coupon","multiple search results","SUCCESS","2021-09-03T15:35:39.6054436-05:00[America/Lima]","0.0","53.66"
"Search Coupon","a single search result","SUCCESS","2021-09-03T17:20:39.5371702-05:00[America/Lima]","0.0","46.96"
"Search Coupon","Product not found","SUCCESS","2021-09-03T17:30:50.3144964-05:00[America/Lima]","0.0","60.93"
"Update","data update with invalid data","SUCCESS","2021-09-03T12:26:34.3686014-05:00[America/Lima]","0.0","38.63"
"Update","data update with valid data","SUCCESS","2021-09-03T12:28:00.9827856-05:00[America/Lima]","0.0","46.17"
